                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                 1.2324,                0.79619,                0.98587,                0.53608,                 0.4116,                 0.4429,                0.25932,                 1.1565,                0.79476,                0.96884,               0.003169,               0.003169,               0.003169
                    140,                 1.2257,                0.79078,                0.98669,                0.53501,                0.41496,                0.44327,                0.25988,                 1.1562,                0.79469,                0.96872,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.2273,                  0.791,                0.98532,                0.53773,                0.41702,                 0.4434,                0.25998,                 1.1558,                0.79446,                0.96852,                0.00307,                0.00307,                0.00307
                    142,                 1.2325,                0.79754,                0.98743,                0.53753,                0.41799,                0.44347,                0.26008,                 1.1557,                  0.794,                 0.9685,              0.0030205,              0.0030205,              0.0030205
                    143,                  1.224,                0.79172,                0.98471,                0.53868,                0.41892,                0.44404,                0.26019,                 1.1559,                0.79396,                0.96853,               0.002971,               0.002971,               0.002971
                    144,                 1.2268,                0.79163,                0.98717,                0.53869,                0.41809,                0.44414,                 0.2606,                 1.1556,                0.79375,                0.96845,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.2199,                0.78881,                0.98251,                0.53634,                0.41769,                0.44439,                0.26073,                 1.1556,                0.79363,                0.96829,               0.002872,               0.002872,               0.002872
                    146,                 1.2215,                0.78686,                 0.9836,                0.53879,                0.41905,                0.44488,                0.26111,                 1.1554,                0.79313,                0.96818,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.2232,                0.79093,                0.98495,                0.53633,                0.41848,                  0.445,                0.26086,                 1.1556,                0.79327,                0.96814,               0.002773,               0.002773,               0.002773
                    148,                 1.2231,                0.78882,                0.98274,                0.53937,                  0.417,                0.44508,                 0.2605,                 1.1555,                0.79305,                0.96808,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.2187,                0.78258,                0.98431,                  0.544,                0.42203,                 0.4453,                0.26072,                 1.1554,                0.79306,                0.96805,               0.002674,               0.002674,               0.002674
